,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
67,1593705026870026241,1593705026870026240,2022-11-18 21:37:42 W. Europe Standard Time,2022-11-18,21:37:42,100,1369637241522446337,viglianomaria,MariaGrazia Vigliano(PreleminaDoc❤️),,E noi non vediamo l'ora di vedere il nostro Pier all'azione siamo una squadra fortissimi ❤️ #TaleQualeShow #TaleaPier,it,[],[],[],0,5,8,"['talequaleshow', 'taleapier']",[],https://twitter.com/ViglianoMaria/status/1593705026870026241,False,,0,,,,,,,,[],,,,
68,1593704694496493568,1593561909915164672,2022-11-18 21:36:23 W. Europe Standard Time,2022-11-18,21:36:23,100,1385687463805468678,lascensore,Mat Emagno,,"@Agenzia_Ansa a parte l'azione criminale che compiono, vorrei sapere se sprecare 8 kg di farina aiuti la causa climatica.",it,[],[],[],0,0,3,[],[],https://twitter.com/LAscensore/status/1593704694496493568,False,,0,,,,,,,,"[{'screen_name': 'Agenzia_Ansa', 'name': 'Agenzia ANSA', 'id': '150725695'}]",,,,
69,1593703430526222336,1593703430526222336,2022-11-18 21:31:22 W. Europe Standard Time,2022-11-18,21:31:22,100,3034421422,grimani72,Leonardo Grimani,,Amici di @Azione_it e @ItaliaViva c’è un limite a tutto !  https://t.co/5IsHMESe72,it,"[{'screen_name': 'azione_it', 'name': 'azione', 'id': '1001344387102728194'}, {'screen_name': 'italiaviva', 'name': 'italia viva', 'id': '1059361525109010433'}]",[],['https://pbs.twimg.com/media/Fh340hIWAAQhAmW.jpg'],0,0,2,[],[],https://twitter.com/grimani72/status/1593703430526222336,False,,1,https://pbs.twimg.com/media/Fh340hIWAAQhAmW.jpg,,,,,,,[],,,,
70,1593702194196484096,1593650940887928832,2022-11-18 21:26:27 W. Europe Standard Time,2022-11-18,21:26:27,100,433357329,backinthegood,Nosurrender 🇮🇹🇪🇺🇺🇦❤️🖤,,"@rusembitaly Il video mostra solo i vostri soldati che fingono di arrendersi per attirare gli ucraini in una trappola con fuoco a tradimento russo sulla pattuglia ucraina Il resto è una normale azione di guerra Andate a cagare, andate.",it,[],[],[],0,0,8,[],[],https://twitter.com/backinthegood/status/1593702194196484096,False,,0,,,,,,,,"[{'screen_name': 'rusembitaly', 'name': 'Russian Embassy in Italy', 'id': '508588196'}]",,,,
71,1593701651176726528,1593701651176726528,2022-11-18 21:24:17 W. Europe Standard Time,2022-11-18,21:24:17,100,3034421422,grimani72,Leonardo Grimani,,@letiziamoratti ad @OttoemezzoTW afferma  di aver ricevuto proposte di ministeri. Non risponde se avrebbe accettato o meno. Insomma tutto era possibile . Alta politica grondante di valori @Azione_it  @ItaliaViva,it,"[{'screen_name': 'ottoemezzotw', 'name': 'otto e mezzo', 'id': '2359413432'}, {'screen_name': 'azione_it', 'name': 'azione', 'id': '1001344387102728194'}, {'screen_name': 'italiaviva', 'name': 'italia viva', 'id': '1059361525109010433'}]",[],[],0,0,0,[],[],https://twitter.com/grimani72/status/1593701651176726528,False,,0,,,,,,,,[],,,,
72,1593701128352550912,1593701128352550912,2022-11-18 21:22:13 W. Europe Standard Time,2022-11-18,21:22:13,100,1502785213608468483,kcmmoraes6625,Keiliane 🇧🇷,,La maturità è vivere in pace con ciò che non può essere cambiato.Non è vendetta. È la legge di Newton: ad ogni azione corrisponde una reazione.🐻🦁@canyaman1989  @CanYamanMedia  #CanYaman #CanYaman #CanYaman  #CanYaman  #ElTurco  #ViolaComellMare  https://t.co/SaGWKokGG4,it,"[{'screen_name': 'canyaman1989', 'name': 'can yaman', 'id': '1307434442965876736'}, {'screen_name': 'canyamanmedia', 'name': 'can yaman media \uea00', 'id': '1284939145522089984'}]",[],['https://pbs.twimg.com/media/Fh32usFWAAEs3kH.jpg'],0,1,3,"['canyaman', 'canyaman', 'canyaman', 'canyaman', 'elturco', 'violacomellmare']",[],https://twitter.com/kcmmoraes6625/status/1593701128352550912,False,,1,https://pbs.twimg.com/media/Fh32usFWAAEs3kH.jpg,,,,,,,[],,,,
73,1593700706027962370,1593700706027962368,2022-11-18 21:20:32 W. Europe Standard Time,2022-11-18,21:20:32,100,1380505823907041280,oggiintv_guida,Oggi in TV,,Non perdere Cielo di piombo ispettore callaghan  https://t.co/PhHRYXKBOB #OggiInTv #guidaTV #programmitv #staseraintv #primaserata #18novembre #film #azione #crime #thriller #filmtv  https://t.co/beHQsCETTg,it,[],['https://oggiintv.kaleidosstudio.com/it/eyJ0aW1lIjoiMjAyMi0xMS0xOC8yMToxNCIsImNoIjoiSXJpcyJ9/cielo-di-piombo-ispettore-callaghan'],['https://pbs.twimg.com/media/Fh32WKOXwAIxvDq.jpg'],0,0,0,"['oggiintv', 'guidatv', 'programmitv', 'staseraintv', 'primaserata', '18novembre', 'film', 'azione', 'crime', 'thriller', 'filmtv']",[],https://twitter.com/oggiintv_guida/status/1593700706027962370,False,,1,https://pbs.twimg.com/media/Fh32WKOXwAIxvDq.jpg,,,,,,,[],,,,
74,1593700594816282624,1593700594816282624,2022-11-18 21:20:05 W. Europe Standard Time,2022-11-18,21:20:05,100,1567942318254088193,pmcdave22,PMCDAVE,,Azione Fall Conference Reinvigorates Dealers to Be ‘A.L.I.V.E. in Las Vegas’  https://t.co/5ToinLntx6,it,[],['http://dlvr.it/Sd0rL1'],[],0,0,0,[],[],https://twitter.com/PMCDAVE22/status/1593700594816282624,False,,0,,,,,,,,[],,,,
75,1593700294243880967,1593695747605676032,2022-11-18 21:18:54 W. Europe Standard Time,2022-11-18,21:18:54,100,1498045721324535813,lukearesman,Luke Liberal,,@Azione_it @CarloCalenda @aedtalkshow @nove Travaglio Sommi e Scanzi. Calenda esce dimagrito di 10kg,it,[],[],[],0,0,0,[],[],https://twitter.com/LukeAresman/status/1593700294243880967,False,,0,,,,,,,,"[{'screen_name': 'Azione_it', 'name': 'Azione', 'id': '1001344387102728194'}, {'screen_name': 'CarloCalenda', 'name': 'Carlo Calenda', 'id': '2416067982'}, {'screen_name': 'aedtalkshow', 'name': 'Accordi&Disaccordi', 'id': '1103669925812621312'}, {'screen_name': 'nove', 'name': 'NOVE', 'id': '817260552'}]",,,,
76,1593699919860318208,1593699919860318208,2022-11-18 21:17:25 W. Europe Standard Time,2022-11-18,21:17:25,100,980161353250992129,_matildelarossa,Matilde,,"È affascinante quanto una singola ed apparentemente insignificante azione ti porti a percorrere delle strade che cambiano completamente la direzione della tua vita, e quella di chi rimane coinvolto nella tua.  Spesso ci penso, e ogni volta mi assale un senso di inquietudine.",it,[],[],[],0,0,0,[],[],https://twitter.com/_matildelarossa/status/1593699919860318208,False,,0,,,,,,,,[],,,,
